,user,category,task,use_plugin,cc,mi,lloc,halstead_difficulty,halstead_effort
0,fd9d2d83c74acfbdeb44b35e7e0d1b1f,task1,task1-1,1,6,81.69442187791142,17,0.5,2.3774437510817346
1,fd9d2d83c74acfbdeb44b35e7e0d1b1f,task1,task1-2,0,1,100.0,3,0.5,2.3774437510817346
2,fd9d2d83c74acfbdeb44b35e7e0d1b1f,task2,task2-1,0,3,85.64065995769211,11,1.5,29.47722668160484
3,fd9d2d83c74acfbdeb44b35e7e0d1b1f,task2,task2-2,1,4,78.47190602256853,14,1.5,63.0
4,fd9d2d83c74acfbdeb44b35e7e0d1b1f,task3,task3-1,0,6,81.91216711489186,19,1.4285714285714286,67.92696431662098
5,fd9d2d83c74acfbdeb44b35e7e0d1b1f,task3,task3-2,1,8,82.8850470095117,24,2.375,318.20195598608206
6,fd9d2d83c74acfbdeb44b35e7e0d1b1f,task6,task6-1,0,1,75.63084802804255,18,1.5,62.26976913547136
7,fd9d2d83c74acfbdeb44b35e7e0d1b1f,task6,task6-2,1,2,82.83469446493552,12,0.5,12.63309714925922
8,9a6cfe2c7ca82dcb62772e83ed7327db,task1,task1-1,1,3,100.0,9,0.0,0.0
9,9a6cfe2c7ca82dcb62772e83ed7327db,task1,task1-2,0,1,98.53943720161298,9,0.5,2.3774437510817346
10,9a6cfe2c7ca82dcb62772e83ed7327db,task2,task2-1,1,1,100.0,4,0.5,1.0
11,9a6cfe2c7ca82dcb62772e83ed7327db,task2,task2-2,0,8,55.70554103590724,23,3.3333333333333335,283.7003783908171
12,9a6cfe2c7ca82dcb62772e83ed7327db,task6,task6-1,0,3,70.5178283990291,33,4.433333333333334,1316.4288654944357
13,9a6cfe2c7ca82dcb62772e83ed7327db,task6,task6-2,1,2,75.47688470897897,26,0.5,2.3774437510817346
14,9a6cfe2c7ca82dcb62772e83ed7327db,task7,task7-1,1,1,100.0,14,0.0,0.0
15,9a6cfe2c7ca82dcb62772e83ed7327db,task7,task7-2,0,8,42.22643348227247,63,2.869565217391304,890.2224092270695
16,9337deccd10c36bab2411e51e60984bc,task1,task1-1,0,7,64.11956897262252,18,0.6666666666666666,8.0
17,9337deccd10c36bab2411e51e60984bc,task1,task1-2,1,1,75.90894493496398,2,0.5,2.3774437510817346
18,9337deccd10c36bab2411e51e60984bc,task2,task2-1,1,2,99.349885349072,8,1.0,8.0
19,9337deccd10c36bab2411e51e60984bc,task2,task2-2,0,11,71.50477449333115,35,2.727272727272727,245.0685919063525
20,9337deccd10c36bab2411e51e60984bc,task3,task3-1,1,10,76.25053713234425,35,3.5714285714285716,565.9183930528852
21,9337deccd10c36bab2411e51e60984bc,task3,task3-2,0,9,65.58313731960612,26,3.857142857142857,466.7682342478352
22,9337deccd10c36bab2411e51e60984bc,task7,task7-1,1,1,100.0,11,0.0,0.0
23,9337deccd10c36bab2411e51e60984bc,task7,task7-2,0,4,77.51710142868298,23,0.5,2.3774437510817346
24,9dd43727b9246d7f2220b94ff43380cf,task1,task1-1,1,5,100.0,22,0.0,0.0
25,9dd43727b9246d7f2220b94ff43380cf,task1,task1-2,0,1,100.0,8,0.5,2.3774437510817346
26,9dd43727b9246d7f2220b94ff43380cf,task2,task2-1,0,5,86.18064474465639,13,0.5,2.3774437510817346
27,9dd43727b9246d7f2220b94ff43380cf,task2,task2-2,1,6,88.25762065602093,19,1.0,53.77443751081735
28,9dd43727b9246d7f2220b94ff43380cf,task3,task3-1,0,5,73.6606162100188,29,0.5,2.3774437510817346
29,9dd43727b9246d7f2220b94ff43380cf,task3,task3-2,1,4,87.69531446132562,31,1.3333333333333333,18.575424759098897
30,9dd43727b9246d7f2220b94ff43380cf,task5,task5-1,1,12,40.02968944909447,70,3.671875,1415.5061566919912
31,9dd43727b9246d7f2220b94ff43380cf,task5,task5-2,0,18,62.63476112951222,61,3.4,3425.4974928751453
32,4a76842f7d04ecfd0e6306f8edf479fe,task1,task1-1,1,6,100.0,20,0.0,0.0
33,4a76842f7d04ecfd0e6306f8edf479fe,task1,task1-2,0,1,100.0,5,0.5,2.3774437510817346
34,4a76842f7d04ecfd0e6306f8edf479fe,task2,task2-1,0,5,82.79789033392159,16,0.5,2.3774437510817346
35,4a76842f7d04ecfd0e6306f8edf479fe,task2,task2-2,1,3,86.42544998304702,11,0.6666666666666666,8.0
36,4a76842f7d04ecfd0e6306f8edf479fe,task6,task6-1,0,6,69.45990128924505,30,3.875,934.170669461102
37,4a76842f7d04ecfd0e6306f8edf479fe,task6,task6-2,1,2,94.92133807284878,9,1.0,39.863137138648355
38,4a76842f7d04ecfd0e6306f8edf479fe,task7,task7-1,1,3,93.33339729155199,25,0.5,2.3774437510817346
39,4a76842f7d04ecfd0e6306f8edf479fe,task7,task7-2,0,4,69.51805145470414,64,3.230769230769231,542.7692307692308
40,e78bbc00ea23e3688e035426717b63ac,task1,task1-1,1,9,77.9910152993471,35,1.5,105.48604608143
41,e78bbc00ea23e3688e035426717b63ac,task1,task1-2,0,1,98.17757001104903,8,0.5,19.019550008653876
42,e78bbc00ea23e3688e035426717b63ac,task2,task2-1,1,4,87.9254855610437,15,1.2,30.319433158222125
43,e78bbc00ea23e3688e035426717b63ac,task2,task2-2,0,7,80.22824165855393,26,1.125,52.32036749447596
