,edit_dist,original_len,final_len,is_generated
107,16,23,8,0
108,7,16,9,0
109,9,36,27,0
110,3,52,54,0
111,0,13,13,0
112,0,32,32,0
113,0,40,40,0
114,0,10,10,0
115,0,6,6,1
116,0,6,6,0
117,0,6,6,1
118,7,10,13,1
119,3,10,7,1
120,4,13,15,0
121,0,6,6,1
122,5,21,18,0
123,0,13,13,1
124,0,7,7,0
125,0,16,16,0
126,25,29,22,0
127,26,29,23,0
128,0,27,27,0
129,0,7,7,1
130,0,17,17,0
131,0,39,39,0
132,0,6,6,1
133,0,6,6,1
134,0,23,23,0
135,3,11,9,1
136,4,7,4,1
137,12,18,6,1
138,1,38,38,0
139,0,23,23,0
140,6,32,31,0
141,0,14,14,1
142,34,43,9,0
143,0,46,46,0
144,45,100,55,0
145,43,76,33,0
146,0,5,5,1
147,0,8,8,1
148,3,16,16,1
149,0,4,4,1
150,4,7,10,1
151,8,13,10,0
152,0,7,7,0
153,0,4,4,1
154,0,11,11,1
155,0,20,20,1
156,0,3,3,1
157,1,22,22,0
158,0,111,111,0
159,18,20,6,1
160,18,20,6,1
161,0,22,22,0
162,0,4,4,1
163,0,45,45,0
164,0,63,63,0
165,0,13,13,0
166,0,32,32,0
167,0,38,38,0
168,0,73,73,0
169,0,23,23,0
170,0,52,52,0
171,0,36,36,0
172,0,38,38,0
173,0,16,16,0
174,0,41,41,0
175,0,30,30,0
176,0,46,46,0
177,3,6,9,1
178,9,9,16,0
179,0,5,5,1
180,4,31,29,0
181,3,45,43,0
182,12,10,20,0
183,12,3,15,1
184,0,50,50,0
185,0,43,43,0
186,0,49,49,0
187,10,15,5,1
188,42,80,66,0
189,0,222,222,0
190,7,12,13,1
191,1,39,39,0
192,2,12,10,0
193,14,12,17,1
194,0,8,8,1
195,0,69,69,0
196,2,14,12,0
197,57,70,15,0
198,39,39,0,0
199,6,6,0,1
200,3,6,8,1
201,3,6,9,1
202,10,54,46,0
203,130,130,0,1
204,50,57,25,0
205,4,9,8,1
206,0,6,6,1
207,0,11,11,0
208,0,21,21,1
209,0,9,9,0
210,0,5,5,1
211,9,38,32,0
212,0,26,26,1
213,0,18,18,1
214,0,25,25,0
215,0,51,51,0
216,0,19,19,1
217,0,11,11,1
218,0,7,7,0
219,1,11,11,1
220,0,14,14,1
221,0,5,5,1
222,0,6,6,1
223,0,25,25,0
224,0,11,11,0
225,0,57,57,0
226,0,25,25,0
227,0,4,4,1
228,0,5,5,1
229,0,9,9,0
230,0,15,15,1
231,0,9,9,0
232,0,27,27,0
233,0,29,29,0
234,0,14,14,1
235,0,46,46,0
236,0,22,22,0
237,0,27,27,0
238,0,28,28,0
239,0,13,13,0
240,0,11,11,0
241,0,32,32,0
242,0,18,18,0
243,0,9,9,1
244,0,15,15,0
245,0,11,11,0
246,0,18,18,0
247,0,28,28,0
248,0,62,62,0
249,0,11,11,1
250,0,11,11,0
251,0,22,22,0
252,0,11,11,1
253,8,11,13,0
254,3,9,7,1
255,46,20,51,1
256,0,78,78,0
257,65,78,31,0
258,4,14,18,1
259,7,6,12,1
260,6,7,12,0
261,28,35,26,0
262,0,12,12,0
263,4,8,8,1
264,48,73,25,0
265,4,15,14,0
266,11,35,37,0
267,12,16,21,0
268,12,9,17,1
269,6,23,21,1
270,3,14,12,1
271,1,14,14,1
272,0,14,14,1
273,11,9,18,0
274,1,7,7,1
275,0,6,6,1
276,3,4,7,1
277,0,5,5,1
278,0,37,37,0
279,2,16,16,0
280,0,23,23,1
281,0,31,31,0
282,0,38,38,0
283,0,38,38,0
284,0,9,9,1
285,0,15,15,1
286,0,38,38,0
287,0,20,20,1
288,0,121,121,0
289,0,121,121,0
290,0,2,2,0
291,0,39,39,0
292,0,21,21,1
293,3,10,12,1
294,3,8,9,1
295,0,8,8,1
296,1,8,8,1
297,1,16,16,0
298,0,14,14,1
299,0,9,9,0
300,0,4,4,1
301,0,15,15,1
302,0,7,7,0
