,edit_dist,original_len,final_len,is_generated
0,3,16,14,0
1,0,25,25,1
2,6,11,8,1
3,5,7,3,0
4,1,4,4,1
5,0,33,33,1
6,0,14,14,1
7,6,10,4,1
8,4,19,15,1
9,42,50,9,0
10,0,10,10,1
11,0,120,120,0
12,32,51,19,0
13,0,54,54,0
14,0,7,7,0
15,0,52,52,0
16,0,36,36,0
17,34,67,33,0
18,0,10,10,0
19,60,98,38,0
20,0,42,42,0
21,0,18,18,0
22,0,15,15,0
23,0,43,43,0
24,0,7,7,0
25,3,7,5,1
26,0,12,12,0
27,4,14,11,0
28,28,42,14,0
29,35,45,10,0
30,0,9,9,1
31,0,14,14,1
32,88,145,57,0
33,35,45,10,0
34,6,11,5,0
35,0,31,31,0
36,182,194,12,0
37,0,18,18,0
38,34,42,8,0
39,5,4,8,1
40,13,9,17,1
41,4,9,11,1
42,2,17,17,1
43,6,8,7,1
44,12,10,20,0
45,8,15,18,0
46,15,21,26,0
47,109,121,14,0
48,10,14,6,1
49,16,3,18,1
50,3,16,16,0
51,26,39,14,0
52,3,21,23,0
53,6,7,8,0
54,0,28,28,0
55,18,7,22,1
56,9,7,13,1
57,2,13,11,0
58,65,51,75,0
59,45,47,6,0
60,47,47,0,0
61,100,47,144,0
62,2,8,8,0
63,11,13,23,1
64,3,4,6,0
65,25,13,38,0
66,14,17,6,1
67,1,4,4,1
68,2,5,7,1
69,74,100,37,0
70,32,58,33,0
71,44,48,4,0
72,10,22,19,0
73,3,7,6,1
74,14,24,13,0
75,60,61,4,0
76,60,61,4,0
77,57,61,4,0
78,3,7,4,0
79,11,17,11,1
80,8,7,13,0
81,7,8,9,1
82,29,27,47,1
83,29,27,47,1
84,12,10,13,0
85,2,5,5,0
86,7,14,16,1
87,45,63,18,0
88,51,55,6,0
89,36,55,22,0
90,4,10,7,1
91,13,15,7,1
92,27,36,13,0
93,6,5,9,1
94,6,5,9,1
95,88,102,24,0
96,3,13,13,1
97,19,23,13,0
98,19,23,4,0
99,6,13,17,1
100,0,8,8,1
101,3,10,11,0
102,4,8,12,1
103,0,111,111,0
104,0,11,11,0
105,4,11,15,0
106,33,38,5,0
